row.names,Accession,MW.[kDa]
Q921M7,Q921M7,36.8
Q99LP6,Q99LP6,24.3
P17809,P17809,53.9
P61290,P61290,29.5
O35864,O35864,37.5
Q9JMH6,Q9JMH6,67
Q9WUK2,Q9WUK2,27.3
Q99JX7,Q99JX7,70.3
P49813,P49813,40.4
Q9CQF3,Q9CQF3,26.2
Q9WU79,Q9WU79,68
Q3ULJ0,Q3ULJ0,38.2
Q5FW53,Q5FW53,38.7
Q99J77,Q99J77,40
P31938,P31938,43.4
Q3TXX4,Q3TXX4,61.6
O89079,O89079,34.5
Q8BH66,Q8BH66,63.3
Q08093,Q08093,33.1
Q62087,Q62087,39.3
P35585,P35585,48.5
Q8C167,Q8C167,83.1
P59114,P59114,80.5
Q8VI64,Q8VI64,29.9
Q9CQ54,Q9CQ54,14.2
Q8VH51,Q8VH51,59.4
P23475,P23475,69.4
Q9D8B7,Q9D8B7,34.8
P68037,P68037,17.9
Q9Z2G6,Q9Z2G6,88.3
Q9EQP6,Q9EQP6,41.9
Q61687,Q61687,278.4
Q80TL0,Q80TL0,83.4
P15089,P15089,48.8
Q8R0F6,Q8R0F6,42.7
P62743,P62743,17
Q925N0,Q925N0,37.3
Q61036,Q61036,62.4
Q924K1,Q924K1,38.2
P63054,P63054,6.8
Q8R570,Q8R570,46.5
P84104,P84104,19.3
P27641,P27641,83
Q9CXZ1,Q9CXZ1,19.8
A2AQ19,A2AQ19,80.7
P33175,P33175,116.9
Q61830,Q61830,164.9
Q9WV60,Q9WV60,46.7
P02463,P02463,160.6
Q8CGM2,Q8CGM2,199.6
Q80TY0,Q80TY0,71.3
P01901,P01901,41.3
Q99KR7,Q99KR7,21.7
Q9QY81,Q9QY81,204
Q9DAR7,Q9DAR7,39
Q91VZ6,Q91VZ6,47.6
Q91VW3,Q91VW3,10.5
O35593,O35593,34.6
Q91YJ3,Q91YJ3,26.2
P04104,P04104,65.6
Q8VBZ3,Q8VBZ3,75.2
Q62383,Q62383,199
Q9ES28,Q9ES28,97
Q9Z0E0,Q9Z0E0,78.8
P59900,P59900,82.3
Q9ESX5,Q9ESX5,57.4
Q62425,Q62425,9.3
O35215,O35215,13.1
Q8K4Z3,Q8K4Z3,31
P84086,P84086,15.4
Q9D710,Q9D710,33.9
Q9EQQ9,Q9EQQ9,103.1
Q61738,Q61738,129.2
O70475,O70475,54.8
Q9D0M5,Q9D0M5,10.3
Q99LR1,Q99LR1,45.2
Q8BYC6,Q8BYC6,105.3
P40336,P40336,38.1
G3X9J0,G3X9J0,194.9
P54726,P54726,39.7
Q64487,Q64487,214.3
Q9Z1L4,Q9Z1L4,25.6
P62889,P62889,12.8
Q8BFU3,Q8BFU3,73.6
Q8BJ05,Q8BJ05,82.4
A2A8L1,A2A8L1,222.4
Q9WUR2,Q9WUR2,43.2
Q9R1Z8,Q9R1Z8,82.3
Q9D3E6,Q9D3E6,144.3
P29387,P29387,37.4
P62082,P62082,22.1
Q9DBE0,Q9DBE0,55.1
Q8K2J0,Q8K2J0,88.6
P43024,P43024,12.3
Q810B6,Q810B6,128.6
P19221,P19221,70.2
Q9JKD3,Q9JKD3,26.1
Q9WUM3,Q9WUM3,53.9
Q9CYN2,Q9CYN2,25
Q8BPU7,Q8BPU7,83.9
Q8BWM0,Q8BWM0,43.3
Q8K4L3,Q8K4L3,243
Q8CGP7,Q8CGP7,14.1
P70236,P70236,37.4
P70175,P70175,93.4
Q3U186,Q3U186,65.3
Q8BG32,Q8BG32,47.4
Q2NL51,Q2NL51,51.6
Q01065,Q01065,61.2
P04117,P04117,14.6
P54729,P54729,70.3
Q6PER3,Q6PER3,31.9
A2AUC9,A2AUC9,68.1
P62245,P62245,14.8
P10833,P10833,23.7
P56375,P56375,11.9
P48320,P48320,65.2
P52431,P52431,123.7
Q8BWG8,Q8BWG8,46.9
Q9CXY6,Q9CXY6,43
Q99JX3,Q99JX3,47
Q91XU3,Q91XU3,47.3
P51410,P51410,21.9
P62071,P62071,23.4
P97461,P97461,22.9
P51432,P51432,139.4
Q64010,Q64010,33.8
Q9R0N0,Q9R0N0,42.3
Q99ME9,Q99ME9,74.1
P49722,P49722,25.9
Q6NSW3,Q6NSW3,185
O70305,O70305,136.4
Q8BSQ9,Q8BSQ9,187.1
Q80XR2,Q80XR2,100.2
P48024,P48024,12.7
P62996,P62996,33.6
Q9Z110,Q9Z110,87.2
P24288,P24288,42.8
P18608,P18608,10.1
Q8R3V5,Q8R3V5,44.5
P06330,P06330,12.9
P83882,P83882,12.4
Q9R020,Q9R020,37.3
Q9Z0Y1,Q9Z0Y1,21
Q9D6J6,Q9D6J6,27.3
Q9CR26,Q9CR26,33.9
Q8JZX4,Q8JZX4,45.3
Q9R1R2,Q9R1R2,80.7
P35922,P35922,68.9
Q8BWZ3,Q8BWZ3,111.6
Q9ES97,Q9ES97,103.8
Q9D0W5,Q9D0W5,18.2
P52760,P52760,14.2
Q91V76,Q91V76,35
P61957,P61957,10.9
Q9CQ92,Q9CQ92,17
Q9R0P4,Q9R0P4,20
P40936,P40936,29.4
Q9CPQ1,Q9CPQ1,8.5
Q9JM14,Q9JM14,23.1
Q8VBT0,Q8VBT0,31.4
Q9CQW2,Q9CQW2,21.5
Q9QZ88,Q9QZ88,20.5
Q6KCD5,Q6KCD5,315.3
Q99KX1,Q99KX1,28
Q9DCT8,Q9DCT8,22.7
P05480,P05480,60.6
Q3U9G9,Q3U9G9,71.4
P22315,P22315,47.1
Q99LY9,Q99LY9,12.6
P70699,P70699,106.2
P70279,P70279,41.2
P63321,P63321,23.5
P28571,P28571,76.5
Q9JLT4,Q9JLT4,56.6
P29351,P29351,67.5
O70503,O70503,34.7
Q8BHJ5,Q8BHJ5,55.6
O70252,O70252,35.7
A2AWA9,A2AWA9,120.7
Q9D8Y0,Q9D8Y0,26.8
O88456,O88456,28.4
O89112,O89112,45.3
P97494,P97494,72.5
Q6NV83,Q6NV83,118.2
Q9QWH1,Q9QWH1,89.7
Q9DAW6,Q9DAW6,58.3
Q8K442,Q8K442,184.1
P24788,P24788,91.5
Q8BVY0,Q8BVY0,50.4
Q9DAU1,Q9DAU1,30.5
Q9CYH2,Q9CYH2,24.4
Q9DBX3,Q9DBX3,90.6
Q6NZB0,Q6NZB0,29.8
P41105,P41105,15.7
Q8VEE1,Q8VEE1,41
P22892,P22892,91.3
Q9Z1Q5,Q9Z1Q5,27
P56394,P56394,6.8
P21460,P21460,15.5
P11404,P11404,14.8
Q9D287,Q9D287,26.1
P23506,P23506,24.6
Q80U72,Q80U72,174
Q5IRJ6,Q5IRJ6,62.8
Q9JIW9,Q9JIW9,23.3
Q8R2U6,Q8R2U6,20.1
P62915,P62915,34.8
P54276,P54276,151
Q8K440,Q8K440,182.9
P07309,P07309,15.8
Q5SSL4,Q5SSL4,97.6
Q5SSZ5,Q5SSZ5,155.5
P60487,P60487,31.5
Q6PDL0,Q6PDL0,54.2
P67871,P67871,24.9
O70251,O70251,24.7
P16332,P16332,82.8
P61294,P61294,23.4
P97868,P97868,199.5
Q3TWW8,Q3TWW8,39
Q9EPJ9,Q9EPJ9,45.3
Q61739,Q61739,122.1
Q8CGZ0,Q8CGZ0,106.1
Q5EBJ4,Q5EBJ4,32.1
Q9DC61,Q9DC61,58.2
Q9Z1K6,Q9Z1K6,57.7
P70429,P70429,44.3
Q99MN9,Q99MN9,58.4
Q9JMG1,Q9JMG1,16.4
P63323,P63323,14.5
Q3THE2,Q3THE2,19.8
Q8BHL3,Q8BHL3,87.2
Q8BX02,Q8BX02,90.2
Q6PE15,Q6PE15,33
Q8BHL5,Q8BHL5,83.8
P49442,P49442,43.3
Q8BJU0,Q8BJU0,34.3
Q6WVG3,Q6WVG3,35.9
P14069,P14069,10
Q6PAM1,Q6PAM1,62.3
P42232,P42232,89.9
Q8VCR7,Q8VCR7,22.4
Q8BKZ9,Q8BKZ9,54
P53811,P53811,31.5
Q99JR8,Q99JR8,59
P62823,P62823,25.9
Q99M51,Q99M51,42.9
P48428,P48428,12.8
Q8CFW1,Q8CFW1,114.1
P54728,P54728,43.5
Q3U7R1,Q3U7R1,121.5
Q9D6Y9,Q9D6Y9,80.3
S4R2P9,S4R2P9,102.9
Q8JZN7,Q8JZN7,69
Q9Z2L7,Q9Z2L7,49.5
Q9WUP7,Q9WUP7,37.6
Q8CJ53,Q8CJ53,68.4
Q9CR95,Q9CR95,29.6
Q99M71,Q99M71,25.5
Q7TSG2,Q7TSG2,104.5
Q920A5,Q920A5,50.9
O08915,O08915,37.6
Q9D706,Q9D706,74.1
Q8R1G2,Q8R1G2,27.9
Q9JI44,Q9JI44,53.1
Q56A08,Q56A08,53.8
Q9WVH9,Q9WVH9,50.2
Q9R0H0,Q9R0H0,74.6
Q66JS6,Q66JS6,29.5
Q9JM52,Q9JM52,147.2
P05622,P05622,122.7
P47226,P47226,48
Q9ESN6,Q9ESN6,81.4
E9Q5C9,E9Q5C9,73.7
P15116,P15116,99.7
P14131,P14131,16.4
Q80VP1,Q80VP1,60.2
Q9WTN0,Q9WTN0,34.7
P47740,P47740,53.9
Q9WVT6,Q9WVT6,37.5
Q3TMH2,Q3TMH2,47.6
Q07113,Q07113,273.6
Q8K0D5,Q8K0D5,83.5
Q9CQ65,Q9CQ65,31
Q9CQ75,Q9CQ75,10.9
P97355,P97355,41.3
Q80X41,Q80X41,49.7
Q7TSC1,Q7TSC1,229.1
Q99KE1,Q99KE1,65.8
Q99MR8,Q99MR8,79.3
P56960,P56960,100.9
O70228,O70228,118.5
Q9D1P4,Q9D1P4,37.3
O35526,O35526,33
Q05144,Q05144,21.4
Q9DC70,Q9DC70,24.7
Q9R0U0,Q9R0U0,31.3
Q8VHI5,Q8VHI5,70.7
P35279,P35279,23.6
P56213,P56213,22.9
P61750,P61750,20.4
Q8VDP3,Q8VDP3,116.7
Q61205,Q61205,25.8
Q70FJ1,Q70FJ1,435.9
Q61550,Q61550,72
Q3TDQ1,Q3TDQ1,93.2
Q9CQ62,Q9CQ62,36.2
Q9JKP5,Q9JKP5,37
Q6P5H2,Q6P5H2,207
Q91W40,Q91W40,56
P58021,P58021,75.3
Q6PGF7,Q6PGF7,81
Q9Z2M7,Q9Z2M7,27.6
Q9JLB2,Q9JLB2,77.2
Q8VEE4,Q8VEE4,69
A2AJT4,A2AJT4,92.1
Q64522,Q64522,14
Q9CTY5,Q9CTY5,59.8
O70309,O70309,87.9
Q9QYA2,Q9QYA2,37.9
Q3UHB8,Q3UHB8,79.8
P24452,P24452,39.2
Q3UYV9,Q3UYV9,91.9
Q8BW75,Q8BW75,58.5
P62746,P62746,22.1
Q80UW8,Q80UW8,24.6
Q9JKV1,Q9JKV1,42
O55091,O55091,36.3
Q8VE70,Q8VE70,24.7
Q80X82,Q80X82,142.2
P60840,P60840,13.3
Q6ZQ88,Q6ZQ88,92.8
Q62165,Q62165,96.8
A2ALS5,A2ALS5,73.4
Q99JW4,Q99JW4,37.2
Q9JK81,Q9JK81,42.7
O88545,O88545,35.9
O54734,O54734,49
Q9DCB1,Q9DCB1,10.8
Q3TZZ7,Q3TZZ7,94.1
P63073,P63073,25
Q8C4Y3,Q8C4Y3,65.6
P97496,P97496,122.8
P56395,P56395,15.2
C0HKD9,C0HKD9,51.9
Q9CQH3,Q9CQH3,21.7
Q80UM3,Q80UM3,100.9
Q3UH68,Q3UH68,118.1
O35071,O35071,122.4
P47758,P47758,29.6
Q61411,Q61411,21.3
Q61151,Q61151,54.7
Q91XU0,Q91XU0,71.7
Q3UYC0,Q3UYC0,56.3
Q06335,Q06335,80.4
P97352,P97352,11.2
Q80WQ2,Q80WQ2,88
Q9CWX2,Q9CWX2,37.8
Q8K003,Q8K003,7.1
Q9QYB1,Q9QYB1,28.7
P63216,P63216,8.3
P01831,P01831,18.1
Q91VN4,Q91VN4,29.8
P62073,P62073,10.3
Q9QXK7,Q9QXK7,77.5
Q3UH60,Q3UH60,171
P60670,P60670,68
P15208,P15208,155.5
Q99LB6,Q99LB6,37.4
Q9QZB7,Q9QZB7,46.2
Q8R3L2,Q8R3L2,76.6
Q0VBL3,Q0VBL3,105.7
Q9D666,Q9D666,101.9
Q9WTX8,Q9WTX8,83.5
Q9ERG2,Q9ERG2,87.1
Q921W4,Q921W4,38.7
Q6PDI6,Q6PDI6,65.6
O55103,O55103,147.6
P59999,P59999,19.7
Q8BP67,Q8BP67,17.8
P42859,P42859,344.5
Q99J99,Q99J99,33.1
Q8C7X2,Q8C7X2,111.5
Q9CQF9,Q9CQF9,56.5
P60229,P60229,52.2
Q9QYF1,Q9QYF1,35.1
Q8R3Q0,Q8R3Q0,35.8
Q9JHK4,Q9JHK4,64.9
P31786,P31786,10
P83870,P83870,12.4
Q8BK30,Q8BK30,11.8
Q61017,Q61017,7.8
P23819,P23819,98.6
Q8BLX7,Q8BLX7,155.7
P62835,P62835,21
Q9WUB4,Q9WUB4,20.7
Q8BGW1,Q8BGW1,58
Q9ESU6,Q9ESU6,155.8
P70704,P70704,131.3
Q9QZZ6,Q9QZZ6,24
P60764,P60764,21.4
A2AJI0,A2AJI0,93.2
Q5EBG6,Q5EBG6,17.5
P61022,P61022,22.4
Q9CQX2,Q9CQX2,16.3
Q8K274,Q8K274,34.4
Q9CR98,Q9CR98,15.7
Q922Q4,Q922Q4,33.6
Q61490,Q61490,65.1
Q91VJ4,Q91VJ4,54.1
Q9JJK2,Q9JJK2,50.7
Q9DB34,Q9DB34,25.1
Q9EQU5,Q9EQU5,33.4
O54946,O54946,39.8
Q3UE37,Q3UE37,38.3
Q8VHI6,Q8VHI6,55.2
Q9R1K9,Q9R1K9,19.8
P16015,P16015,29.3
P70362,P70362,34.5
Q9D3H2,Q9D3H2,18.5
Q9QZ85,Q9QZ85,47.5
Q9CWW6,Q9CWW6,13.8
P31648,P31648,67
P39749,P39749,42.3
Q6A065,Q6A065,174.9
Q8CGP5,Q8CGP5,14.2
Q8K268,Q8K268,79.8
Q68FH4,Q68FH4,50.5
Q8C7E9,Q8C7E9,65.8
Q8C166,Q8C166,58.8
Q91XD6,Q91XD6,43.7
P35123,P35123,108.3
Q3T9E4,Q3T9E4,47.1
O35379,O35379,171.1
Q60823,Q60823,55.7
Q60696,Q60696,65.9
Q8C052,Q8C052,102.9
P42225,P42225,87.1
Q8BI72,Q8BI72,59.7
Q6PAR5,Q6PAR5,162.3
P34022,P34022,23.6
Q5EG47,Q5EG47,63.9
Q9D1C8,Q9D1C8,25.4
Q9JIG7,Q9JIG7,70.8
Q8VE88,Q8VE88,54
P55258,P55258,23.7
Q9R1P3,Q9R1P3,22.9
Q8CBW3,Q8CBW3,52.3
P36916,P36916,68.7
Q60714,Q60714,71.2
Q9ESW4,Q9ESW4,46.9
P14115,P14115,16.6
Q8K4B0,Q8K4B0,80.7
Q8VHI3,Q8VHI3,49.4
Q9DCS9,Q9DCS9,21
P48455,P48455,58.7
Q9D0M1,Q9D0M1,39.4
P08207,P08207,11.2
Q63932,Q63932,44.4
P29788,P29788,54.8
O88200,O88200,36.4
Q9QZD9,Q9QZD9,36.4
Q9CQR2,Q9CQR2,9.1
Q3V3N7,Q3V3N7,65.1
Q9CYT6,Q9CYT6,52.8
Q8CBY8,Q8CBY8,53
Q505F5,Q505F5,63.6
Q9QYF9,Q9QYF9,41.5
P83741,P83741,250.8
Q9JKK7,Q9JKK7,39.5
Q91W43,Q91W43,113.2
Q61412,Q61412,39.4
P59325,P59325,48.9
Q9Z1R2,Q9Z1R2,121
Q9CXI5,Q9CXI5,20.4
P0C027,P0C027,18.6
O88741,O88741,41.3
Q9EPU4,Q9EPU4,160.7
Q9JKB1,Q9JKB1,26.1
P19253,P19253,23.4
E9Q557,E9Q557,332.7
Q9DBC0,Q9DBC0,74.2
Q9D883,Q9D883,27.8
P46412,P46412,25.4
Q3UHX2,Q3UHX2,20.6
P04919,P04919,103.1
Q8R3G9,Q8R3G9,25.6
Q8BPM0,Q8BPM0,123.3
Q05CL8,Q05CL8,64.8
Q61702,Q61702,101
G5E870,G5E870,224
P70297,P70297,59.7
Q9CQZ5,Q9CQZ5,15.3
P16110,P16110,27.5
Q9D7X3,Q9D7X3,20.5
P21447,P21447,140.6
Q9Z2A5,Q9Z2A5,59.1
Q8VHR5,Q8VHR5,65.4
P56380,P56380,17
Q9CQI7,Q9CQI7,25.3
P28659,P28659,52.1
P61255,P61255,17.2
P51855,P51855,52.2
O08756,O08756,27.4
Q7TQK5,Q7TQK5,72.6
O88704,O88704,102.4
Q9DCH4,Q9DCH4,38
Q8VCH8,Q8VCH8,56.4
Q9DBV4,Q9DBV4,49.7
Q8K2T1,Q8K2T1,34.4
Q91W34,Q91W34,50.4
Q9QXB9,Q9QXB9,40.7
P18653,P18653,81.5
Q8CGB3,Q8CGB3,160.7
Q9DCC4,Q9DCC4,28.7
Q9Z2Y8,Q9Z2Y8,30
Q9CX80,Q9CX80,21.5
Q8R3G1,Q8R3G1,38.5
Q99LE6,Q99LE6,71.7
Q8BH04,Q8BH04,70.5
Q8BG67,Q8BG67,92.6
Q3ULW8,Q3ULW8,59.9
Q61771,Q61771,85.2
Q9WVQ5,Q9WVQ5,26.9
Q9DBH5,Q9DBH5,40.4
Q9QXE7,Q9QXE7,56.8
Q9WTX2,Q9WTX2,34.3
Q8R2U0,Q8R2U0,39.7
Q8BX10,Q8BX10,32
Q9CZE3,Q9CZE3,25.1
P46061,P46061,63.5
Q8R4N0,Q8R4N0,37.5
Q9D8T7,Q9D8T7,12.6
P04345,P04345,21.1
Q0VGB7,Q0VGB7,46.5
Q3TQI7,Q3TQI7,33.5
O35350,O35350,82.1
Q8K2K6,Q8K2K6,58
P63154,P63154,83.4
Q62093,Q62093,25.5
P61027,P61027,22.5
Q9DD18,Q9DD18,23.4
Q91X97,Q91X97,22.2
P50153,P50153,8.4
Q62189,Q62189,31.8
P70414,P70414,108
Q6KAR6,Q6KAR6,86.4
Q9D4J7,Q9D4J7,41.1
Q9QXV0,Q9QXV0,27.3
Q9DBS1,Q9DBS1,44.8
Q9CZN7,Q9CZN7,55.7
Q9Z0J0,Q9Z0J0,16.4
A2AR02,A2AR02,88.3
Q9DC33,Q9DC33,39.9
Q0P678,Q0P678,105.6
Q99LU0,Q99LU0,22.1
Q3UPH1,Q3UPH1,46.3
Q9DB73,Q9DB73,34.1
D3YXG0,D3YXG0,611.2
Q924N4,Q924N4,127.4
Q8CIG8,Q8CIG8,72.6
A2AMT1,A2AMT1,73.6
Q9JHJ0,Q9JHJ0,39.5
Q6PIP5,Q6PIP5,66.7
P08074,P08074,25.9
Q8BZW8,Q8BZW8,78.4
Q8BTY2,Q8BTY2,116.4
Q9D1K2,Q9D1K2,13.4
Q60766,Q60766,46.5
P49710,P49710,54.2
Q9CQD4,Q9CQD4,22.1
Q07235,Q07235,44.2
Q9EPL2,Q9EPL2,108.8
O35250,O35250,79.9
P12849,P12849,43.2
P52623,P52623,31
O08808,O08808,139.3
O35343,O35343,57.9
Q9CQU5,Q9CQU5,28.7
Q9JJL8,Q9JJL8,58.3
Q922Q8,Q922Q8,34.9
P61963,P61963,38.9
Q8VC30,Q8VC30,59.7
Q9QXX4,Q9QXX4,74.4
Q5SSM3,Q5SSM3,88.9
Q8VDQ8,Q8VDQ8,43.2
P63168,P63168,10.4
Q9JK48,Q9JK48,40.8
Q6DVA0,Q6DVA0,57.5
Q8BLY1,Q8BLY1,51
O55142,O55142,12.5
Q8BMD8,Q8BMD8,52.9
P26350,P26350,12.2
Q3THG9,Q3THG9,44.9
Q62148,Q62148,56.6
Q8BH57,Q8BH57,76
P45377,P45377,36.1
Q7M6Y3,Q7M6Y3,71.5
Q3THK3,Q3THK3,57.2
O55125,O55125,33.3
Q9CRA5,Q9CRA5,33.7
P61089,P61089,17.1
P36371,P36371,77.4
Q9R0Q3,Q9R0Q3,22.7
Q91VS8,Q91VS8,121.2
P35803,P35803,36.2
Q9D0T1,Q9D0T1,14.2
Q3UHC7,Q3UHC7,131.6
O09114,O09114,21.1
Q3URE1,Q3URE1,65
P28184,P28184,7
Q9D8X2,Q9D8X2,25.3
Q9QWI6,Q9QWI6,134.8
Q3UZ39,Q3UZ39,79.2
Q99KY4,Q99KY4,143.6
Q9JJH1,Q9JJH1,17
Q8R010,Q8R010,35.4
Q9DB15,Q9DB15,21.7
P28574,P28574,18.2
Q8C3P7,Q8C3P7,64.6
O70161,O70161,72.4
O09106,O09106,55
Q8R317,Q8R317,61.9
O89017,O89017,49.3
O08807,O08807,31
Q8CFQ3,Q8CFQ3,170.2
Q8BH43,Q8BH43,54
Q8CCJ3,Q8CCJ3,89.5
Q80TZ3,Q80TZ3,102.2
Q9QWR8,Q9QWR8,47.2
Q3TIX9,Q3TIX9,65.1
Q9JM76,Q9JM76,20.5
Q8R307,Q8R307,110.1
Q3U0S6,Q3U0S6,103.5
Q9D1Q6,Q9D1Q6,46.8
Q9WVJ9,Q9WVJ9,49.4
O35459,O35459,36.1
P62761,P62761,22.1
Q9JJ28,Q9JJ28,144.7
P99028,P99028,10.4
Q99K28,Q99K28,56.6
Q9ET80,Q9ET80,71.9
Q5PR73,Q5PR73,22.5
Q8BK63,Q8BK63,38.9
Q8VE92,Q8VE92,40
Q99KL7,Q99KL7,24.7
Q8R127,Q8R127,47.1
P97379,P97379,54.1
O70310,O70310,56.9
Q8BW96,Q8BW96,42.9
Q9EPE9,Q9EPE9,132.3
P58044,P58044,26.3
P38060,P38060,34.2
Q9D1J1,Q9D1J1,28.6
P47955,P47955,11.5
Q8VE47,Q8VE47,44.8
Q99L27,Q99L27,38
Q9QY42,Q9QY42,66.7
Q9CPT5,Q9CPT5,21.1
Q03517,Q03517,70.6
O35900,O35900,10.8
Q64332,Q64332,63.3
Q3UHU5,Q3UHU5,213.7
P52927,P52927,11.8
Q5U458,Q5U458,63.2
Q9D2L5,Q9D2L5,86.9
Q9QZF2,Q9QZF2,61.3
Q6PE01,Q6PE01,39.3
Q91X20,Q91X20,68.2
Q9CPT4,Q9CPT4,18
Q9DCM2,Q9DCM2,25.7
Q9CZR2,Q9CZR2,82.7
Q8R059,Q8R059,38.2
P20060,P20060,61.1
Q9CQW1,Q9CQW1,22.3
Q6NZF1,Q6NZF1,86.4
Q61136,Q61136,116.9
Q80WR5,Q80WR5,24.8
Q99LG2,Q99LG2,100.4
P42227,P42227,88
Q9EQ61,Q9EQ61,67.8
Q8JZR6,Q8JZR6,122.3
Q8BY87,Q8BY87,157.4
Q9D832,Q9D832,37.8
P35290,P35290,23.1
Q6GV12,Q6GV12,35.9
Q8K4Q0,Q8K4Q0,149.4
P99026,P99026,29.1
Q8VD63,Q8VD63,44.8
Q9DBX2,Q9DBX2,34.4
Q9CYA0,Q9CYA0,38.2
P62075,P62075,10.5
Q9ERI2,Q9ERI2,25
Q9QWV9,Q9QWV9,80.5
P26883,P26883,11.9
Q91YN5,Q91YN5,58.6
Q07456,Q07456,39
Q9D5V6,Q9D5V6,41.3
Q6PA06,Q6PA06,66.2
Q80U87,Q80U87,122.5
Q8K4Q8,Q8K4Q8,81.3
O70299,O70299,40.9
Q8BYA0,Q8BYA0,133.2
Q3UDE2,Q3UDE2,74
O70456,O70456,27.7
Q61247,Q61247,54.9
Q3TSG4,Q3TSG4,44.4
Q8CI32,Q8CI32,50.9
P56565,P56565,10.5
O70492,O70492,18.7
P03987,P03987,43.9
Q9WU01,Q9WU01,38.8
Q3UGR5,Q3UGR5,28.7
Q9CQY5,Q9CQY5,37.9
P55288,P55288,88.1
P62331,P62331,20.1
P52479,P52479,87
Q8C6E0,Q8C6E0,39.6
Q9D067,Q9D067,79.6
Q9Z127,Q9Z127,55.8
Q06185,Q06185,8.2
P70349,P70349,13.8
Q9WV85,Q9WV85,19.1
Q9WUC3,Q9WUC3,14.7
P62843,P62843,17
Q9JL56,Q9JL56,37.6
Q8C729,Q8C729,58.6
Q6ZPE2,Q6ZPE2,208.6
Q9ERF3,Q9ERF3,33.8
Q8JZM7,Q8JZM7,60.5
Q3UU96,Q3UU96,195.4
O88441,O88441,29.7
Q8BTW3,Q8BTW3,28.4
Q9WU42,Q9WU42,269.6
Q60739,Q60739,39.7
Q99LB7,Q99LB7,101.6
Q8BMP6,Q8BMP6,60.1
Q61334,Q61334,27.9
Q02013,Q02013,28.8
Q8K0Z7,Q8K0Z7,32.3
P61620,P61620,52.2
Q8C7R4,Q8C7R4,117.9
Q3UHD6,Q3UHD6,61
Q148R9,Q148R9,25.2
P70335,P70335,158.1
P70271,P70271,35.5
Q9CQ91,Q9CQ91,9.3
Q99M87,Q99M87,52.4
Q03958,Q03958,14.4
P28651,P28651,33.1
Q9D8W7,Q9D8W7,16.9
Q9CX56,Q9CX56,39.9
Q9QUR7,Q9QUR7,18.4
Q3THW5,Q3THW5,13.5
Q9R0L6,Q9R0L6,228.7
Q6PHU5,Q6PHU5,91.1
P35762,P35762,25.8
Q64324,Q64324,66.3
P40237,P40237,29.6
E9QAG8,E9QAG8,61.2
P61358,P61358,15.8
Q8BH79,Q8BH79,76.1
Q9Z2W9,Q9Z2W9,100.5
P23818,P23818,101.5
Q8BWY3,Q8BWY3,49
Q60952,Q60952,276.6
P62270,P62270,17.7
Q9EPC1,Q9EPC1,42.3
Q62203,Q62203,49.9
Q91WE2,Q91WE2,28.7
Q9JLV1,Q9JLV1,61.8
Q8K1R7,Q8K1R7,107.1
Q9ESB3,Q9ESB3,59.1
P13439,P13439,52.3
Q8CCF0,Q8CCF0,55.4
Q8BJZ4,Q8BJZ4,36
Q9D1E8,Q9D1E8,42.2
P56812,P56812,14.3
Q99K70,Q99K70,44.1
Q8K0C9,Q8K0C9,42
P62830,P62830,14.9
P17918,P17918,28.8
Q3TJ91,Q3TJ91,114.3
Q9DBD0,Q9DBD0,76.7
Q4VBE8,Q4VBE8,47.2
Q6PEB6,Q6PEB6,26
P04370,P04370,27.2
P53564,P53564,165.5
Q8BMF3,Q8BMF3,67.1
O88848,O88848,20.9
Q99NH0,Q99NH0,274
E9Q1P8,E9Q1P8,59.3
Q8C129,Q8C129,117.2
Q9EQZ6,Q9EQZ6,115.4
Q80XN0,Q80XN0,38.3
O70572,O70572,47.4
O35144,O35144,60.2
A2BH40,A2BH40,241.9
Q9D1X0,Q9D1X0,24.6
P04627,P04627,67.5
Q9Z2W8,Q9Z2W8,100.8
Q9DCZ1,Q9DCZ1,37.5
Q9CQR6,Q9CQR6,35.1
P55772,P55772,57.2
Q8VED9,Q8VED9,18.9
P70318,P70318,43.4
Q99LI2,Q99LI2,60.6
P35276,P35276,24.4
Q80U56,Q80U56,72.1
Q31125,Q31125,50.6
Q8BG73,Q8BG73,12.2
Q8CHP5,Q8CHP5,22.7
Q91YM4,Q91YM4,71.5
Q9D8S9,Q9D8S9,14.4
Q9D0M0,Q9D0M0,31.8
Q8C5Q4,Q8C5Q4,53
Q3UKC1,Q3UKC1,93.6
P60202,P60202,30.1
O88992,O88992,26.5
Q9R0M4,Q9R0M4,53.4
Q61749,Q61749,57.6
O35604,O35604,142.8
Q9Z2Z6,Q9Z2Z6,33
Q6NVF0,Q6NVF0,104.2
P01637,P01637,14.4
P02802,P02802,6
Q9CPS6,Q9CPS6,18.8
Q9D662,Q9D662,86.4
Q7TQ95,Q7TQ95,47.5
O88291,O88291,65.2
Q91VL8,Q91VL8,43.3
Q99KK9,Q99KK9,56.9
Q99KW3,Q99KW3,223.2
A2A863,A2A863,201.5
P98200,P98200,129.3
Q8K2L8,Q8K2L8,87.6
Q60866,Q60866,39.2
P29268,P29268,37.8
Q8BGS1,Q8BGS1,81.6
P62852,P62852,13.7
P06683,P06683,62
Q8R2Y0,Q8R2Y0,38.2
Q91VJ5,Q91VJ5,30.6
Q8K157,Q8K157,37.8
Q8CFE2,Q8CFE2,39.3
Q9CQU0,Q9CQU0,19
